Year,Planning Area,,others,owner,tenant
2000,Ang Mo Kio,,484,48822,4796
2000,Bedok,,958,68816,5060
2000,Bishan,,273,23743,939
2000,Boon Lay,No Data,,,
2000,Bukit Batok,,304,34569,1380
2000,Bukit Merah,,440,37420,8616
2000,Bukit Panjang,,197,25287,687
2000,Bukit Timah,,546,14419,1847
2000,Central Water Catchment,No Data,,,
2000,Changi,,31,147,102
2000,Changi Bay,No Data,,,
2000,Choa Chu Kang,,158,37081,619
2000,Clementi,,200,25721,1985
2000,Downtown Core,,24,1094,308
2000,Geylang,,517,29390,4486
2000,Hougang,,561,52572,1660
2000,Jurong East,,200,24074,615
2000,Jurong West,,448,53559,1729
2000,Kallang,,539,22336,6137
2000,Lim Chu Kang,No Data,,,
2000,Mandai,No Data,,,
2000,Marina East,No Data,,,
2000,Marina South,No Data,,,
2000,Marine Parade,,321,10709,2224
2000,Museum,No Data,,,
2000,Newton,,93,1235,388
2000,North-Eastern Islands,No Data,,,
2000,Novena,,273,10632,1379
2000,Orchard,No Data,,,
2000,Outram,,89,4696,3262
2000,Pasir Ris,,181,29023,598
2000,Paya Lebar,No Data,,,
2000,Pioneer,No Data,,,
2000,Punggol,No Data,,,
2000,Queenstown,,525,27359,3329
2000,River Valley,,174,2018,534
2000,Rochor,,143,4154,672
2000,Seletar,No Data,,,
2000,Sembawang,,100,6976,85
2000,Sengkang,,101,13500,167
2000,Serangoon,,454,31738,983
2000,Simpang,No Data,,,
2000,Singapore River,No Data,,,
2000,Southern Islands,No Data,,,
2000,Straits View,No Data,,,
2000,Sungei Kadut,No Data,,,
2000,Tampines,,436,64124,1339
2000,Tanglin,,205,3035,630
2000,Tengah,No Data,,,
2000,Toa Payoh,,386,32444,4336
2000,Tuas,No Data,,,
2000,Western Islands,No Data,,,
2000,Western Water Catchment,No Data,,,
2000,Woodlands,,329,52451,1403
2000,Yishun,,273,47705,876
2010,Ang Mo Kio,,644,50755,8307
2010,Bedok,,1383,78754,11087
2010,Bishan,,267,24950,2240
2010,Boon Lay,No Data,,,
2010,Bukit Batok,,408,39975,3750
2010,Bukit Merah,,516,42018,13092
2010,Bukit Panjang,,336,34172,1831
2010,Bukit Timah,,490,16618,3550
2010,Central Water Catchment,No Data,,,
2010,Changi,,176,259,343
2010,Changi Bay,No Data,,,
2010,Choa Chu Kang,,436,44830,2646
2010,Clementi,,329,26672,3791
2010,Downtown Core,,61,1020,348
2010,Geylang,,748,31557,7981
2010,Hougang,,851,57678,3756
2010,Jurong East,,291,24332,1669
2010,Jurong West,,934,70350,6800
2010,Kallang,,466,25707,9301
2010,Lim Chu Kang,No Data,,,
2010,Mandai,,13,426,49
2010,Marina East,No Data,,,
2010,Marina South,No Data,,,
2010,Marine Parade,,330,11926,3243
2010,Museum,No Data,,,
2010,Newton,,141,1199,835
2010,North-Eastern Islands,No Data,,,
2010,Novena,,301,12120,2787
2010,Orchard,No Data,,,
2010,Outram,,118,3650,3620
2010,Pasir Ris,,337,33290,2430
2010,Paya Lebar,No Data,,,
2010,Pioneer,No Data,,,
2010,Punggol,,140,17139,764
2010,Queenstown,,416,28238,5710
2010,River Valley,,181,1651,916
2010,Rochor,,142,4120,994
2010,Seletar,No Data,,,
2010,Sembawang,,299,19193,1120
2010,Sengkang,,425,45264,2098
2010,Serangoon,,497,33104,2385
2010,Simpang,No Data,,,
2010,Singapore River,,44,469,285
2010,Southern Islands,No Data,,,
2010,Straits View,No Data,,,
2010,Sungei Kadut,No Data,,,
2010,Tampines,,810,67913,4868
2010,Tanglin,,256,3683,1648
2010,Tengah,No Data,,,
2010,Toa Payoh,,558,34421,7998
2010,Tuas,No Data,,,
2010,Western Islands,No Data,,,
2010,Western Water Catchment,No Data,,,
2010,Woodlands,,618,61494,6167
2010,Yishun,,485,49335,3756
2015,Ang Mo Kio,,100,54700,7700
2015,Bedok,,600,82900,8700
2015,Bishan,,200,25300,2300
2015,Boon Lay,,0,0,0
2015,Bukit Batok,,300,41300,2500
2015,Bukit Merah,,200,44300,10700
2015,Bukit Panjang,,100,39300,1900
2015,Bukit Timah,,500,20900,2600
2015,Central Water Catchment,,0,0,0
2015,Changi,,0,0,0
2015,Changi Bay,,0,0,0
2015,Choa Chu Kang,,300,47500,1500
2015,Clementi,,200,26900,2900
2015,Downtown Core,,0,0,0
2015,Geylang,,400,31800,5300
2015,Hougang,,400,60500,3400
2015,Jurong East,,0,24300,1200
2015,Jurong West,,300,76200,5100
2015,Kallang,,100,29400,6900
2015,Lim Chu Kang,,0,0,0
2015,Mandai,,0,0,0
2015,Marina East,,0,0,0
2015,Marina South,,0,0,0
2015,Marine Parade,,200,12400,2600
2015,Museum,,0,0,0
2015,Newton,,0,0,0
2015,North-Eastern Islands,,0,0,0
2015,Novena,,200,13000,2500
2015,Orchard,,0,0,0
2015,Outram,,0,5800,2600
2015,Pasir Ris,,100,38400,2000
2015,Paya Lebar,,0,0,0
2015,Pioneer,,0,0,0
2015,Punggol,,0,31900,1300
2015,Queenstown,,300,31700,3600
2015,River Valley,,0,0,0
2015,Rochor,,0,0,0
2015,Seletar,,0,0,0
2015,Sembawang,,100,22100,900
2015,Sengkang,,100,62200,2300
2015,Serangoon,,400,36300,2300
2015,Simpang,,0,0,0
2015,Singapore River,,0,0,0
2015,Southern Islands,,0,0,0
2015,Straits View,,0,0,0
2015,Sungei Kadut,,0,0,0
2015,Tampines,,300,76100,3500
2015,Tanglin,,200,4900,1900
2015,Tengah,,0,0,0
2015,Toa Payoh,,200,36800,6100
2015,Tuas,,0,0,0
2015,Western Islands,,0,0,0
2015,Western Water Catchment,,0,0,0
2015,Woodlands,,100,65900,4400
2015,Yishun,,300,59500,3100
2020,Ang Mo Kio,,683,51897,7640
2020,Bedok,,1391,85033,11127
2020,Bishan,,381,25654,3410
2020,Boon Lay,,0,0,0
2020,Bukit Batok,,461,49487,4349
2020,Bukit Merah,,506,46060,13134
2020,Bukit Panjang,,402,40434,2743
2020,Bukit Timah,,611,20122,3879
2020,Central Water Catchment,,0,0,0
2020,Changi,,0,0,0
2020,Changi Bay,,0,0,0
2020,Choa Chu Kang,,406,53919,3700
2020,Clementi,,336,30042,3231
2020,Downtown Core,,72,855,620
2020,Geylang,,652,33761,7647
2020,Hougang,,757,68603,5750
2020,Jurong East,,266,24505,2442
2020,Jurong West,,519,76331,7029
2020,Kallang,,537,30671,9625
2020,Lim Chu Kang,,0,0,0
2020,Mandai,,0,0,0
2020,Marina East,,0,0,0
2020,Marina South,,0,0,0
2020,Marine Parade,,368,13086,3615
2020,Museum,,0,0,0
2020,Newton,,0,0,0
2020,North-Eastern Islands,,0,0,0
2020,Novena,,356,14811,3113
2020,Orchard,,0,0,0
2020,Outram,,84,4718,3250
2020,Pasir Ris,,443,41101,3254
